week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2016-07-29,2016-07-25,2016-07-29,2115.0,2065.0,0.8,2173.60009765625,0.0,77.36,268,0.027599632413480284
2016-08-05,2016-08-01,2016-08-05,2115.0,2065.0,0.050000000000000044,2182.8701171875,0.0,2.3600000000000043,1,0.026959925940119953
2016-08-12,2016-08-08,2016-08-12,2125.0,2075.0,0.3,2184.050048828125,0.0,27.36,172,0.026511021765262998
2016-08-26,2016-08-22,2016-08-26,2125.0,2075.0,0.9000000000000001,2169.0400390625,0.0,87.36000000000001,248,0.02695678498651557
2016-09-02,2016-08-29,2016-09-02,2110.0,2060.0,0.7499999999999999,2179.97998046875,0.0,72.35999999999999,141,0.02721943255967659
2016-09-09,2016-09-06,2016-09-09,2120.0,2070.0,0.09999999999999998,2127.81005859375,0.0,7.359999999999998,57,0.027514005177172687
2016-09-23,2016-09-19,2016-09-23,2080.0,2030.0,0.9,2164.68994140625,0.0,87.36,22,0.027655675377274067
2016-09-30,2016-09-26,2016-09-30,2105.0,2055.0,2.75,2168.27001953125,0.0,272.36,103,0.027574360773106172
2016-10-07,2016-10-03,2016-10-07,2110.0,2060.0,1.75,2153.739990234375,0.0,172.36,25,0.02687396818955564
2016-10-14,2016-10-10,2016-10-14,2095.0,2045.0,0.09999999999999998,2132.97998046875,0.0,7.359999999999998,151,0.027273482639834708
2016-10-28,2016-10-24,2016-10-28,2080.0,2030.0,0.09999999999999998,2126.409912109375,0.0,7.359999999999998,45,0.028563916110834985
2016-11-04,2016-10-31,2016-11-04,2070.0,2020.0,1.8499999999999999,2085.179931640625,0.0,182.36,63,0.026528239822498283
2016-11-11,2016-11-07,2016-11-11,2030.0,1980.0,3.8,2164.449951171875,0.0,377.36,78,0.026462911331210294
2016-12-02,2016-11-28,2016-12-02,2155.0,2105.0,0.6000000000000001,2191.949951171875,0.0,57.36000000000001,152,0.02636279625082259
2016-12-23,2016-12-19,2016-12-23,2195.0,2145.0,0.2,2263.7900390625,0.0,17.36,47,0.027930961595535975
2017-01-13,2017-01-09,2017-01-13,2215.0,2165.0,0.30000000000000004,2274.639892578125,0.0,27.360000000000003,91,0.027220257095097736
2017-01-27,2017-01-23,2017-01-27,2210.0,2160.0,0.4,2294.68994140625,0.0,37.36,180,0.02699325808106942
2017-02-03,2017-01-30,2017-02-03,2230.0,2180.0,0.7999999999999999,2297.419921875,0.0,77.36,47,0.02819114697762008
2017-02-10,2017-02-06,2017-02-10,2235.0,2185.0,0.19999999999999996,2316.10009765625,0.0,17.359999999999996,156,0.027169574565217947
2017-03-03,2017-02-27,2017-03-03,2300.0,2250.0,0.15000000000000002,2383.1201171875,0.0,12.360000000000001,115,0.028445464272362806
2017-03-10,2017-03-06,2017-03-10,2320.0,2270.0,0.15000000000000002,2372.60009765625,0.0,12.360000000000001,34,0.026486334755963882
2017-03-24,2017-03-20,2017-03-24,2315.0,2265.0,0.3,2343.97998046875,0.0,27.36,192,0.026595185535582887
2017-03-31,2017-03-27,2017-03-31,2280.0,2230.0,1.5499999999999998,2362.719970703125,0.0,152.35999999999999,22,0.02729544663429901
2017-04-07,2017-04-03,2017-04-07,2300.0,2250.0,0.25,2355.5400390625,0.0,22.36,280,0.02654566409935583
2017-04-28,2017-04-24,2017-04-28,2285.0,2235.0,0.04999999999999999,2384.199951171875,0.0,2.359999999999999,65,0.02711721980982999
2017-05-12,2017-05-08,2017-05-12,2335.0,2285.0,0.35,2390.89990234375,0.0,32.36,100,0.026795442825087012
2017-05-19,2017-05-15,2017-05-19,2325.0,2275.0,0.25,2381.72998046875,0.0,22.36,320,0.027562802725095134
2017-05-26,2017-05-22,2017-05-26,2315.0,2265.0,0.15000000000000002,2415.820068359375,0.0,12.360000000000001,75,0.02801744153030178
2017-06-09,2017-06-05,2017-06-09,2370.0,2320.0,0.09999999999999998,2431.77001953125,0.0,7.359999999999998,107,0.02831819768336321
2017-06-16,2017-06-12,2017-06-16,2365.0,2315.0,1.4000000000000001,2433.14990234375,0.0,137.36,60,0.027457374256189177
2017-06-23,2017-06-19,2017-06-23,2365.0,2315.0,0.09999999999999998,2438.300048828125,0.0,7.359999999999998,401,0.028008920567575427
2017-06-30,2017-06-26,2017-06-30,2370.0,2320.0,0.09999999999999998,2423.409912109375,0.0,7.359999999999998,337,0.028011338826388815
2017-07-14,2017-07-10,2017-07-14,2360.0,2310.0,0.20000000000000007,2459.27001953125,0.0,17.360000000000007,78,0.026876328139714988
2017-07-21,2017-07-17,2017-07-21,2390.0,2340.0,0.14999999999999997,2472.5400390625,0.0,12.359999999999996,648,0.028166902772414244
2017-07-28,2017-07-24,2017-07-28,2405.0,2355.0,0.25,2472.10009765625,0.0,22.36,150,0.02731605474348913
2017-08-04,2017-07-31,2017-08-04,2405.0,2355.0,0.20000000000000007,2476.830078125,0.0,17.360000000000007,475,0.027142953361745464
2017-08-11,2017-08-07,2017-08-11,2410.0,2360.0,0.35,2441.320068359375,0.0,32.36,257,0.026982100514376602
2017-08-18,2017-08-14,2017-08-18,2375.0,2325.0,0.3,2425.550048828125,0.0,27.36,573,0.027165658947760855
2017-08-25,2017-08-21,2017-08-25,2360.0,2310.0,1.0999999999999999,2443.050048828125,0.0,107.35999999999999,322,0.027024818086023295
2017-09-01,2017-08-28,2017-09-01,2375.0,2325.0,0.30000000000000004,2476.550048828125,0.0,27.360000000000003,140,0.027854545534491626
2017-09-08,2017-09-05,2017-09-08,2410.0,2360.0,0.30000000000000004,2461.429931640625,0.0,27.360000000000003,370,0.02687207910844189
2017-09-15,2017-09-11,2017-09-15,2395.0,2345.0,0.15000000000000002,2500.22998046875,0.0,12.360000000000001,489,0.02698834965265383
2017-09-22,2017-09-18,2017-09-22,2430.0,2380.0,0.09999999999999998,2502.219970703125,0.0,7.359999999999998,741,0.02808940818139581
2017-09-29,2017-09-25,2017-09-29,2435.0,2385.0,0.2,2519.360107421875,0.0,17.36,815,0.026864133245741842
2017-10-06,2017-10-02,2017-10-06,2450.0,2400.0,0.2,2549.330078125,0.0,17.36,190,0.027530842938071665
2017-10-13,2017-10-09,2017-10-13,2480.0,2430.0,0.25,2553.169921875,0.0,22.36,1086,0.027195410558993362
2017-10-20,2017-10-16,2017-10-20,2485.0,2435.0,0.14999999999999997,2575.2099609375,0.0,12.359999999999996,1217,0.026700111610643326
2017-10-27,2017-10-23,2017-10-27,2505.0,2455.0,0.2,2581.070068359375,0.0,17.36,451,0.02726378120716037
2017-11-03,2017-10-30,2017-11-03,2510.0,2460.0,0.35,2587.840087890625,0.0,32.36,440,0.02753511779110662
2017-11-10,2017-11-06,2017-11-10,2515.0,2465.0,0.15000000000000002,2582.300048828125,0.0,12.360000000000001,626,0.02814705909822956
2017-11-17,2017-11-13,2017-11-17,2510.0,2460.0,0.8500000000000001,2578.85009765625,0.0,82.36000000000001,200,0.02799831447199001
2017-11-24,2017-11-20,2017-11-24,2510.0,2460.0,0.09999999999999998,2602.419921875,0.0,7.359999999999998,983,0.026697983616350326
2017-12-01,2017-11-27,2017-12-01,2530.0,2480.0,0.15000000000000002,2642.219970703125,0.0,12.360000000000001,370,0.02782791557437151
2017-12-08,2017-12-04,2017-12-08,2570.0,2520.0,0.29999999999999993,2651.5,0.0,27.359999999999992,250,0.027333065189082816
2017-12-15,2017-12-11,2017-12-15,2580.0,2530.0,0.10000000000000003,2675.81005859375,0.0,7.360000000000003,1053,0.02696586837639072
2017-12-22,2017-12-18,2017-12-22,2600.0,2550.0,0.04999999999999999,2683.340087890625,0.0,2.359999999999999,10,0.02833162927625414
2017-12-29,2017-12-26,2017-12-29,2610.0,2560.0,0.04999999999999999,2673.610107421875,0.0,2.359999999999999,420,0.027331640972977703
2018-01-05,2018-01-02,2018-01-05,2600.0,2550.0,0.09999999999999998,2743.14990234375,0.0,7.359999999999998,880,0.027532102462335544
2018-01-12,2018-01-08,2018-01-12,2670.0,2620.0,0.14999999999999997,2786.239990234375,0.0,12.359999999999996,38,0.026666388986344002
2018-01-19,2018-01-16,2018-01-19,2710.0,2660.0,0.09999999999999998,2810.300048828125,0.0,7.359999999999998,10,0.027363037822151777
2018-01-26,2018-01-22,2018-01-26,2735.0,2685.0,0.30000000000000004,2872.8701171875,0.0,27.360000000000003,363,0.02679430933345519
2018-02-02,2018-01-29,2018-02-02,2795.0,2745.0,0.6000000000000001,2762.1298828125,32.8701171875,-3229.65171875,300,0.027105338567736493
2018-02-09,2018-02-05,2018-02-09,2685.0,2635.0,3.8999999999999995,2619.550048828125,50.0,-4612.64,43,0.027924060809900647
2018-02-16,2018-02-12,2018-02-16,2550.0,2500.0,4.7,2732.219970703125,0.0,467.36,30,0.02655037984834026
2018-02-23,2018-02-20,2018-02-23,2655.0,2605.0,2.5500000000000003,2747.300048828125,0.0,252.36000000000004,83,0.028262720985548162
2018-03-02,2018-02-26,2018-03-02,2670.0,2620.0,0.85,2691.25,0.0,82.36,216,0.028136733321537898
2018-03-16,2018-03-12,2018-03-16,2710.0,2660.0,0.9000000000000001,2752.010009765625,0.0,87.36000000000001,406,0.027478249776958417
2018-03-23,2018-03-19,2018-03-23,2675.0,2625.0,2.4,2588.260009765625,50.0,-4762.64,200,0.027983186649885607
2018-03-30,2018-03-26,2018-03-29,2515.0,2465.0,1.3,2640.8701171875,0.0,127.36,411,0.028304733484739397
2018-04-06,2018-04-02,2018-04-06,2570.0,2520.0,6.1,2604.469970703125,0.0,607.36,3,0.02683589651996061
2018-04-13,2018-04-09,2018-04-13,2535.0,2485.0,2.9,2656.300048828125,0.0,287.36,102,0.026673362136853625
2018-04-20,2018-04-16,2018-04-20,2585.0,2535.0,1.5000000000000002,2670.139892578125,0.0,147.36000000000004,236,0.026841865571466714
2018-04-27,2018-04-23,2018-04-27,2595.0,2545.0,1.7500000000000002,2669.909912109375,0.0,172.36000000000004,130,0.02814080744869681
2018-05-04,2018-04-30,2018-05-04,2595.0,2545.0,1.0,2663.419921875,0.0,97.36,159,0.028057093525748242
2018-05-11,2018-05-07,2018-05-11,2590.0,2540.0,0.8999999999999999,2727.719970703125,0.0,87.35999999999999,50,0.027566033156091168
2018-05-18,2018-05-14,2018-05-18,2655.0,2605.0,0.35000000000000003,2712.969970703125,0.0,32.36,415,0.026659617366946928
2018-05-25,2018-05-21,2018-05-25,2640.0,2590.0,0.25000000000000006,2721.330078125,0.0,22.360000000000007,749,0.026896711534264883
2018-06-01,2018-05-29,2018-06-01,2645.0,2595.0,1.3000000000000003,2734.6201171875,0.0,127.36000000000003,140,0.02804881287226705
2018-06-08,2018-06-04,2018-06-08,2660.0,2610.0,0.45000000000000007,2779.030029296875,0.0,42.36000000000001,262,0.027287196754862332
2018-06-15,2018-06-11,2018-06-15,2705.0,2655.0,0.8499999999999999,2779.659912109375,0.0,82.35999999999999,105,0.026638801494205302
2018-06-22,2018-06-18,2018-06-22,2705.0,2655.0,1.55,2754.8798828125,0.0,152.36,42,0.026859369300584156
2018-06-29,2018-06-25,2018-06-29,2680.0,2630.0,3.3499999999999996,2718.3701171875,0.0,332.35999999999996,153,0.027180815860491876
2018-07-06,2018-07-02,2018-07-06,2645.0,2595.0,2.3,2759.820068359375,0.0,227.35999999999999,3,0.02699048106937356
2018-07-13,2018-07-09,2018-07-13,2685.0,2635.0,0.35000000000000003,2801.31005859375,0.0,32.36,473,0.0271104878238867
2018-07-20,2018-07-16,2018-07-20,2725.0,2675.0,0.5000000000000001,2801.830078125,0.0,47.360000000000014,632,0.02724084696003178
2018-07-27,2018-07-23,2018-07-27,2725.0,2675.0,0.5,2818.820068359375,0.0,47.36,569,0.027421391013267696
2018-08-03,2018-07-30,2018-08-03,2740.0,2690.0,1.0,2840.35009765625,0.0,97.36,11,0.02796207861725998
2018-08-10,2018-08-06,2018-08-10,2765.0,2715.0,0.49999999999999994,2833.280029296875,0.0,47.35999999999999,434,0.02652845426288332
