date,open,high,low,close,atr_prev,prev_close
2022-08-12,4155.93,4280.47,4112.09,4280.15,190.97270827169302,4145.19
2022-08-19,4269.37,4325.28,4218.7,4228.48,189.35894339514354,4280.15
2022-08-26,4195.08,4203.04,4057.66,4057.66,183.44616172406185,4228.48
2022-09-02,4034.58,4062.99,3903.65,3924.26,182.544293029486,4057.66
2022-09-09,3930.89,4076.81,3886.75,4067.36,180.88684352737985,3924.26
2022-09-16,4083.67,4119.28,3837.08,3873.33,181.54206898970986,4067.36
2022-09-23,3849.91,3907.07,3647.47,3693.23,188.73192120473058,3873.33
2022-09-30,3682.72,3736.74,3584.13,3585.62,193.79392683296416,3693.23
2022-10-07,3609.78,3806.91,3604.93,3639.66,190.8522177734667,3585.62
2022-10-14,3647.51,3712.0,3491.58,3583.07,193.02634507536192,3639.66
2022-10-21,3638.65,3762.79,3638.65,3752.75,194.9830347128361,3583.07
2022-10-28,3762.01,3905.42,3741.65,3901.06,193.89281794763352,3752.75
2022-11-04,3881.85,3911.79,3698.15,3770.55,191.74118809423112,3901.06
2022-11-11,3780.71,4001.48,3744.22,3992.93,193.30538894464317,3770.55
2022-11-18,3977.97,4028.84,3906.54,3965.34,197.87357544859725,3992.93
2022-11-25,3956.23,4034.02,3933.34,4026.12,192.47546291655462,3965.34
2022-12-02,4005.36,4100.51,3937.65,4071.7,185.9186441368007,4026.12
2022-12-09,4052.02,4052.45,3918.39,3934.38,184.27159812702925,4071.7
2022-12-16,3939.29,4100.96,3827.91,3852.36,182.06005540367002,3934.38
2022-12-23,3853.79,3889.82,3764.49,3844.82,188.55933716055074,3852.36
2022-12-30,3843.34,3858.19,3780.78,3839.5,184.04295593479716,3844.82
2023-01-06,3853.29,3906.19,3794.33,3895.08,176.4263162251688,3839.5
2023-01-13,3910.82,4003.95,3877.29,3999.09,171.8144364947996,3895.08
2023-01-20,3999.28,4015.39,3885.54,3972.61,168.58911960231393,3999.09
2023-01-27,3978.14,4094.21,3949.06,4070.56,165.8220396307201,3972.61
2023-02-03,4049.27,4195.44,4015.55,4136.48,164.34546537138297,4070.56
2023-02-10,4119.57,4176.54,4060.79,4090.46,165.45578927342703,4136.48
2023-02-17,4096.62,4159.77,4047.95,4079.09,161.90537575389652,4090.46
2023-02-24,4052.35,4052.35,3943.08,3970.04,158.32784891433255,4079.09
2023-03-03,3992.36,4048.29,3928.16,4045.64,156.7337168490231,3970.04
2023-03-10,4055.15,4078.49,3846.32,3861.59,154.11916564552146,4045.64
2023-03-17,3835.12,3964.46,3808.86,3916.64,159.6942252422699,3861.59
2023-03-24,3917.47,4039.49,3909.16,3970.99,159.40178058210776,3916.64
2023-03-31,3982.93,4110.75,3951.53,4109.31,157.32522482624293,3970.99
2023-04-07,4102.2,4133.13,4069.84,4105.02,157.46056591008272,4109.31
2023-04-14,4085.2,4163.19,4072.55,4137.64,150.7340969165054,4105.02
2023-04-21,4137.17,4169.48,4113.86,4133.52,146.44166142246928,4137.64
2023-04-28,4132.07,4170.06,4049.35,4169.48,139.95439989229288,4133.52
2023-05-05,4166.79,4186.92,4048.28,4136.25,138.5797998999863,4169.48
2023-05-12,4136.98,4154.28,4098.92,4124.08,138.58409990713014,4136.25
2023-05-19,4126.65,4212.91,4109.86,4191.98,132.63952134233512,4124.08
2023-05-26,4190.78,4212.87,4103.98,4205.45,130.52598410359693,4191.98
